Quantity,Brand,Part Number,Subcategory,Application,Engine,Description,Jobber,Public Price,Last Purchase,Last Sale,Category,Dealer,Type
,aFe Power,48-36211-YC,Exhaust,Jeep Grand Cherokee SRT/SRT-8 6.4L V8 +12,6.4L,aFe Twisted Steel Headers w/ Cats 12-14 Jeep Grand Cherokee SRT/SRT-8 6.4L V8,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,48-43020-HN,Turbo/SC,Ford F-150 V6 3.5 Ecoboost,3.5T,aFe Twisted Steel Down-Pipe Race Series 2017 Ford F-150 Raptor V6-3.5L (tt),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,50-40045R,Air Filter,BMW X5M/X6M F85 F86 V8 4.4 Bi-Turbo 2015-2019,4.4TT,aFe Momentum ST Pro 5R Intake System 15-19 BMW X5M / X6M 4.4L TT (S63),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,50-72205R,Air Filter,Dodge Hellcat +17,6.2SC,aFe Momentum GT 17-18 Dodge Charger/Challenger SRT Hellcat CAI(w/ Pro 5R Media Filter),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,51-12212,Air Filter,BMW 2/3/4-Series 12-18 L4-2.0L (t) N20,N20 2.0T,aFe MagnumFORCE Intakes Stage-2 Pro DRY S 12-15 BMW 328i (F30) L4 3.0L (t) N20,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,51-12492,Air Filter,Volkswagen New Beetle 2.5L,2.5L,aFe MagnumFORCE Intake Stage-2 Pro DRY S VW 09-14 Jetta/Golf 12-14 Passat/Beetle 2.5L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,51-76303,Air Filter,BMW 528i F10 15-15 2.0T,2.0T,aFe Momentum Pro DRY S Intake System BMW 528i/ix (F10) 12-15 L4-2.0L (t) N20,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,52-10008R,Air Filter,Jeep Wrangler JL +18,3.6L,aFe Rapid Induction Pro 5R Cold Air Intake System 18-21 Jeep Wrangler(JL)/Gladiator(JT) 3.6L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-10082,Air Filter,Ford F-150 97-05 V8-4.6/5.4L,4.6L,aFe MagnumFORCE Intakes Stage-2 P5R AIS P5R Ford F-150 97-05 V8-4.6/5.4L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-10092,Air Filter,Chevrolet Sileverado V8 5.3 98-07,5.3L,aFe MagnumFORCE Intakes Stage-2 P5R AIS P5R GM Trucks/SUVs 99-07 V8-4.8/5.3L (GMT800),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-10451,Air Filter,P5R AIS P5R BMW 330i (E46) 01-06 L6-3.0L,3.0L,aFe MagnumFORCE Intakes Stage-1 P5R AIS P5R BMW 330i (E46) 01-06 L6-3.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-10831,Air Filter,Volkswagen Golf/Jetta L4 1.8/1.9 00-04,1.8L,aFe MagnumFORCE Intakes Stage-1 P5R AIS P5R VW Golf/Jetta 00-04.5 l4-1.8/1.9L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
